Continent,Country,%GDP Agriculture,%GDP Industry,%GDP Services,Children Per Women,Cumulative CO2 Emissions,Democracy Score,Energy Use Total,Extreme Poverty headcount ratio at $1.25 a day (PPP) (% of population),GDP Per Capital,GDP Total,HDI,Life Expectancy,Murders Total Deaths,Population Density,Population Total,Poverty headcount ratio at $2 a day (PPP) (% of population),Working Hours per Week
africa,algeria,8.0253,61.283,30.6916,2.656,2.81492557E9,2.0,3.682332E7,NaN,2155.485,7.308519E10,0.68,70.18,3102.0,14.236,3.3906604E7,NaN,NaN
africa,angola,7.8603,66.5661,25.5741,6.523,3.05605664E8,-2.0,1.0968137E7,NaN,562.9877,2.1674668E10,0.471,49.471,6226.0,14.057,1.7525368E7,NaN,NaN
africa,benin,NaN,NaN,NaN,5.365,4.3211668E7,7.0,3207252.0,NaN,366.045,2.96956646E9,0.414,57.933,1046.0,72.034,8112573.0,NaN,NaN
africa,botswana,2.0336,53.1594,44.7832,2.91,8.3614664E7,8.0,2032669.0,NaN,4160.6626,8.0195538E9,0.618,46.422,390.0,3.313,1927540.0,NaN,NaN
africa,burkina,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
africa,burundi,37.8101,NaN,NaN,6.567,8272000.0,6.0,NaN,NaN,133.2869,1.02734605E9,0.289,51.045,2677.0,276.92,7707781.0,NaN,NaN
africa,cameroon,19.4652,30.644,49.8908,5.235,1.30390336E8,-4.0,6339740.0,9.56,647.9445,1.29127107E10,0.459,52.502,2808.0,38.596,1.8350022E7,30.36,NaN
africa,cape verde,7.2,15.6668,77.1332,2.66,5518333.5,10.0,103000.0,NaN,1735.8839,8.3847187E8,0.56,72.959,53.0,119.768,483023.0,NaN,NaN
africa,central african republic,53.8656,NaN,NaN,NaN,8506667.0,NaN,NaN,NaN,227.2706,9.8371533E8,0.323,NaN,NaN,6.679,NaN,NaN,NaN
africa,chad,12.5162,54.2645,33.2192,6.902,8092333.5,-2.0,NaN,NaN,292.1435,3.0300649E9,0.313,48.452,1860.0,8.078,1.0371839E7,NaN,NaN
africa,comoros,45.3437,11.8571,42.7992,5.112,2563000.0,9.0,41000.0,NaN,347.1,2.35543872E8,0.428,59.541,72.0,364.644,678602.0,NaN,NaN
africa,congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
africa,congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
africa,djibouti,3.8553,16.8857,79.2591,3.832,1.4542E7,2.0,143000.0,NaN,837.2779,7.0285549E8,0.416,58.816,27.0,36.183,839453.0,NaN,NaN
africa,egypt,14.0702,36.3445,49.5853,2.987,3.57505126E9,-3.0,7.1037936E7,NaN,1765.8694,1.35868768E11,0.626,69.838,912.0,76.83,7.6941568E7,NaN,NaN
africa,equatorial guinea,2.6779,94.5757,2.7465,5.39,3.7836332E7,-5.0,1759000.0,NaN,7994.386,5.1482993E9,0.526,49.796,113.0,22.956,643936.0,NaN,NaN
africa,eritrea,25.3831,20.0789,54.5379,5.266,7883333.5,-7.0,720631.0,NaN,167.7992,8.0519482E8,NaN,59.727,693.0,40.804,4798561.0,NaN,NaN
africa,ethiopia,46.2386,13.2713,40.49,5.353,1.23900336E8,1.0,3.0512124E7,NaN,176.1074,1.38028902E10,0.337,58.67,14894.0,70.378,7.7718432E7,NaN,NaN
africa,gabon,4.8461,60.2526,34.9012,4.304,1.55701328E8,-4.0,1988813.0,NaN,4143.3345,5.8985733E9,0.656,60.949,218.0,5.319,1423637.0,NaN,NaN
africa,gambia,21.0176,14.7933,56.4982,5.799,7758666.5,-5.0,133000.0,NaN,598.0823,1.0118672E9,0.399,57.31,212.0,140.89,1591357.0,NaN,NaN
africa,ghana,29.0499,20.7472,50.2029,4.257,1.97923008E8,8.0,9064105.0,NaN,317.7364,7.2087931E9,0.508,59.656,2555.0,95.217,2.2712404E7,NaN,NaN
africa,guinea,25.3456,43.3916,31.2628,5.423,4.7542E7,NaN,NaN,43.34,387.7516,5.1504983E9,0.337,53.958,1531.0,38.126,9373619.0,69.59,NaN
africa,guinea-bissau,NaN,NaN,NaN,5.317,7872333.5,6.0,95000.0,NaN,155.9948,2.22166384E8,0.345,52.861,253.0,39.424,1424191.0,NaN,NaN
africa,ivory coast,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
africa,kenya,25.0112,18.5388,56.45,4.824,2.83396672E8,7.0,1.7178316E7,NaN,461.0194,1.72622848E10,0.486,56.627,7221.0,64.589,3.7485248E7,NaN,NaN
africa,lesotho,7.6627,35.9165,56.4208,3.405,NaN,8.0,19000.0,NaN,446.3204,9.4000794E8,0.429,44.961,260.0,69.383,2106128.0,NaN,NaN
africa,liberia,NaN,18.92,26.09,5.277,3.9746668E7,6.0,NaN,83.76,217.1365,7.5502624E8,0.319,57.212,562.0,31.222,3477197.0,94.88,NaN
africa,libya,2.0827,76.4181,21.4993,2.69,1.43085069E9,-7.0,2.316608E7,NaN,7736.5444,4.6597616E10,0.755,74.045,171.0,3.423,6023053.0,NaN,NaN
africa,madagascar,25.6879,16.2591,58.0531,4.87,5.8523668E7,7.0,NaN,NaN,255.0942,4.841664E9,0.476,62.075,2128.0,32.332,1.8980392E7,NaN,NaN
africa,malawi,30.3049,16.3213,53.3738,5.843,2.8603666E7,6.0,NaN,NaN,157.6214,2.19248282E9,0.367,50.92,2318.0,114.694,1.3589404E7,NaN,NaN
africa,mali,36.541,24.1875,NaN,6.806,1.8095E7,7.0,NaN,NaN,258.0305,3.61779046E9,0.338,52.467,2029.0,11.305,1.4020786E7,NaN,NaN
africa,mauritania,25.5743,39.6004,34.8253,4.99,5.8938E7,4.0,NaN,NaN,609.9344,1.95951923E9,0.442,60.585,438.0,3.133,3212672.0,NaN,NaN
africa,mauritius,4.4805,26.9627,68.5568,1.628,6.3283E7,10.0,1194000.0,NaN,4650.9854,5.8621158E9,0.714,72.749,33.0,625.319,1275650.0,NaN,NaN
africa,morocco,13.7308,27.3143,58.9549,2.398,1.00533766E9,-6.0,1.4350182E7,2.52,1658.8553,5.2239577E10,0.565,69.564,328.0,69.446,3.10112E7,14.03,NaN
africa,mozambique,27.7096,25.879,46.4114,5.588,1.09453664E8,5.0,9237990.0,NaN,339.0638,7.3954314E9,0.299,48.284,4066.0,27.21,2.1811326E7,NaN,NaN
africa,namibia,9.3617,35.597,55.0414,3.436,2.9388334E7,6.0,1344838.0,NaN,2598.5127,5.6101473E9,0.607,58.861,255.0,2.619,2158984.0,NaN,NaN
africa,niger,NaN,NaN,NaN,7.593,2.9201334E7,6.0,NaN,NaN,171.4211,2.39058074E9,0.273,55.327,2587.0,11.007,1.3945662E7,NaN,NaN
africa,nigeria,32.7142,40.652,26.6338,6.015,2.46310528E9,4.0,1.07673856E8,NaN,476.2142,6.9980373E10,0.441,49.799,24477.0,159.078,1.46951472E8,NaN,NaN
africa,rwanda,35.661,13.9399,50.4253,5.167,2.0280334E7,-3.0,NaN,NaN,304.593,2.88790528E9,0.401,58.702,2405.0,368.689,9710531.0,NaN,NaN
africa,sao tome and principe,NaN,NaN,NaN,4.462,2570333.2,NaN,44000.0,NaN,NaN,NaN,0.496,65.261,8.0,163.238,157361.0,NaN,NaN
africa,senegal,13.3833,23.5696,63.0472,5.14,1.33411664E8,7.0,2999850.0,NaN,550.6476,6.334999E9,0.445,61.804,1632.0,58.329,1.1474661E7,NaN,NaN
africa,seychelles,2.1431,20.3163,77.5405,2.284,9779000.0,NaN,205000.0,0.25,8419.716,7.1595366E8,0.775,72.402,3.0,186.758,84975.0,1.84,NaN
africa,sierra leone,49.8609,24.2706,25.8686,5.232,6.5090668E7,7.0,NaN,NaN,251.417,1.37733504E9,0.319,43.535,1832.0,76.363,5478289.0,NaN,NaN
africa,somalia,NaN,NaN,NaN,7.14,1.8777E7,NaN,NaN,NaN,NaN,NaN,NaN,53.044,265.0,13.696,8733493.0,NaN,NaN
africa,south africa,3.3684,31.1965,65.435,2.58,1.50605404E10,9.0,1.37294336E8,NaN,3704.0842,1.78749047E11,0.604,52.13,32303.0,40.001,4.8842464E7,NaN,NaN
africa,south sudan,NaN,NaN,NaN,5.483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.943,NaN,NaN,8260226.0,NaN,NaN
africa,sudan,28.126,31.1842,40.6898,4.873,2.40573664E8,-4.0,1.5097889E7,NaN,498.5702,1.96690657E10,0.395,60.671,10320.0,16.112,3.2113408E7,NaN,NaN
africa,swaziland,7.971,46.539,45.49,3.761,2.3767334E7,-9.0,423000.0,NaN,1773.4565,1.80910656E9,0.507,46.811,235.0,65.25,1133007.0,NaN,NaN
